institution,credit_code,credit_name,category,category_code,pillar,status,score,max,institution_key,pct_of_max
"University of California, Berkeley",PA-11,"Health, Safety and Wellbeing",Planning & Administration,PA,Social,Complete,3.0,3.0,berkeley,100.0
"University of California, Berkeley",PA-12,Employee Rights,Planning & Administration,PA,Social,Complete,2.5,3.0,berkeley,83.3
"University of California, Berkeley",PA-13,Pay Equity and Living Wage,Planning & Administration,PA,Social,Complete,4.34,5.0,berkeley,86.8
"University of California, Berkeley",PA-2,Commitments and Planning,Planning & Administration,PA,Governance,Complete,6.0,6.0,berkeley,100.0
"University of California, Berkeley",PA-3,Institutional Governance,Planning & Administration,PA,Governance,Complete,3.5,4.0,berkeley,87.5
"University of California, Berkeley",PA-4,Sustainable Investment Program,Planning & Administration,PA,Governance,Complete,4.0,4.0,berkeley,100.0
"University of California, Berkeley",PA-5,Investment Holdings,Planning & Administration,PA,Governance,Complete,2.51,6.0,berkeley,41.8
"University of California, Berkeley",PA-6,Institutional Climate,Planning & Administration,PA,Social,Complete,3.0,3.0,berkeley,100.0
"University of California, Berkeley",PA-7,Racial and Ethnic Representation,Planning & Administration,PA,Social,Complete,1.59,3.0,berkeley,53.0
"University of California, Berkeley",PA-8,Gender Parity,Planning & Administration,PA,Social,Complete,1.67,2.0,berkeley,83.5
"University of California, Berkeley",PA-9,Affordability and Access,Planning & Administration,PA,Social,Complete,2.5,3.0,berkeley,83.3
"University of California, Berkeley",PRE-1,Executive Letter,Report Preface,PRE,Preface,Complete,,,berkeley,
"University of California, Berkeley",PRE-2,Points of Distinction,Report Preface,PRE,Preface,Complete,,,berkeley,
"University of California, Berkeley",PRE-3,Institutional Characteristics,Report Preface,PRE,Preface,Complete,,,berkeley,
"University of California, Berkeley",PRE-4,Reporting Methodologies,Report Preface,PRE,Preface,Complete,,,berkeley,
