institution,gri_disclosure,gri_title,relationship,stars_credit,stars_field,value,units,populated
"University of California, Berkeley",306-2,Management of significant waste-related impacts,component,OP-12,Does the institution have sufficient data on construction and demolition waste to pursue this indicator?,Yes,,True
"University of California, Berkeley",306-3,Waste generated,partial,OP-12,Annual non-hazardous waste generated,"7,732.13",Metric tons,True
"University of California, Berkeley",306-3,Waste generated,component,OP-12,Annual construction and demolition waste generated,"4,753.09",Metric tons,True
"University of California, Berkeley",306-4,Waste diverted from disposal,component,OP-12,Total non-hazardous waste diverted from disposal,"4,254.13",Metric tons,True
"University of California, Berkeley",306-4,Waste diverted from disposal,component,OP-12,Non-hazardous waste recycled,"1,576",Metric tons,True
"University of California, Berkeley",306-4,Waste diverted from disposal,component,OP-12,Non-hazardous waste composted,"2,554",Metric tons,True
"University of California, Berkeley",306-4,Waste diverted from disposal,component,OP-12,Non-hazardous waste prepared for reuse,124.13,Metric tons,True
"University of California, Berkeley",306-4,Waste diverted from disposal,component,OP-12,Total construction and demolition waste diverted from disposal,"3,452.02",Metric tons,True
"University of California, Berkeley",306-4,Waste diverted from disposal,component,OP-12,Construction and demolition waste recycled,"2,858.23",Metric tons,True
"University of California, Berkeley",306-5,Waste directed to disposal,component,OP-12,Non-hazardous waste disposed of to a landfill or incinerator,"3,478",Metric tons,True
"University of California, Berkeley",306-5,Waste directed to disposal,component,OP-12,Construction and demolition waste disposed of to a landfill or incinerator,"1,301.07",Metric tons,True
"University of California, Berkeley",308-1,New suppliers that were screened using environmental criteria,partial,OP-9,Does the institution’s supplier code of conduct include one or more expectations in regard to environmental impact that exceed or are additional to regulatory compliance?,Yes,,True
"University of California, Berkeley",308-1,New suppliers that were screened using environmental criteria,partial,OP-9,Percentage of bid solicitations that identify supplier sustainability considerations,100,,True
"University of California, Berkeley",401-2,Benefits provided to full-time employees that are not provided to temporary or part-time employees,partial,PA-12,Percentage of employees eligible for paid all-gender family/medical leave,100,,True
"University of California, Berkeley",401-3,Parental leave,partial,PA-12,Number of weeks of paid maternity leave,12,,True
"University of California, Berkeley",401-3,Parental leave,partial,PA-12,Narrative and/or website URL providing an overview of the maternity leave options available to employees,"https://ucnet.universityofcalifornia.edu/wp-content/uploads/forms/pdf/pregnancy-newborn-child-and-adopted-child.pdf To be eligible for leave under the FMLA and/or CFRA, you need to have worked at UC for at least 12 cumulative months and must have worked at least 1,250 hours during the 12 months immediately before the date you wish to begin FML. To be eligible for leave under PDLL, you simply need to be employed and disabled by pregnancy. LENGTH OF LEAVE The FMLA and CFRA generally entitle an eligible employee to up to 12 workweeks of leave for qualifying reasons. If your leave qualifies under both statutes, it runs concurrently under both. Pregnancy disability leave qualifies under the FMLA and PDLL, but not under CFRA. Parental bonding leave qualifies under both the FMLA and CFRA, provided that the leave is taken within 12 months of the birth of your child or, in the case of an adoption or foster care placement, within 12 months of the child’s placement with you.",,True
"University of California, Berkeley",403-1,Occupational health and safety management system,partial,PA-11,Narrative and/or website URL providing an overview of the institution’s workplace health and safety committees,https://ehs.berkeley.edu/workplace-safety,,True
"University of California, Berkeley",403-3,Occupational health services,partial,PA-11,Does the institution make physical health services available to employees?,Yes,,True
"University of California, Berkeley",403-4,"Worker participation, consultation, and communication on occupational health and safety",component,PA-11,Does the institution have an institution-wide health and safety committee or network of committees that brings together workers and management in the development and review of workplace health and safety policies and procedures?,Yes,,True
"University of California, Berkeley",403-4,"Worker participation, consultation, and communication on occupational health and safety",component,PA-11,Narrative and/or website URL providing an overview of the institution’s workplace health and safety committees,https://ehs.berkeley.edu/workplace-safety,,True
"University of California, Berkeley",403-6,Promotion of worker health,component,PA-11,Does the institution make physical health services available to employees?,Yes,,True
"University of California, Berkeley",403-6,Promotion of worker health,component,PA-11,Does the institution make behavioral health services available to employees?,Yes,,True
"University of California, Berkeley",403-6,Promotion of worker health,component,PA-11,Does the institution make free or reduced cost fitness activities available to employees?,Yes,,True
"University of California, Berkeley",403-6,Promotion of worker health,component,PA-11,Does the institution prohibit smoking and tobacco use across the entire campus?,Yes,,True
"University of California, Berkeley",403-6,Promotion of worker health,component,PA-11,Does the institution make contemplative and/or spiritual activities available to employees?,Yes,,True
"University of California, Berkeley",405-1,Diversity of governance bodies and employees,partial,PA-7,Ethnic diversity index for executive staff,0.51,,True
"University of California, Berkeley",405-1,Diversity of governance bodies and employees,component,PA-8,Percentage of executive staff that identify as women or other marginalized gender identities,50,,True
"University of California, Berkeley",405-1,Diversity of governance bodies and employees,component,PA-8,Percentage of regular/permanent academic staff that identify as women or other marginalized gender identities,36.70,,True
