url,institution,credit_code,field,original_name,local_file,bytes,status,note,extract_status,text_chars
https://regents.universityofcalifornia.edu/policies/6102.pdf,"University of California, Berkeley",PA-4,Narrative and/or website URL providing an overview of how the institution has incorporated ESG factors and/or climate risk as material issues to be considered when making investment decisions,6102.pdf,9a3a575600e2448a.pdf,274936,downloaded,application/pdf,ok,20339
https://www.ucop.edu/investment-office/sustainable-investment/active-ownership/custom-proxy-guidelines.pdf,"University of California, Berkeley",PA-4,Narrative and/or website URL providing an overview of the institution’s proxy voting in support of sustainability,custom-proxy-guidelines.pdf,,0,error,HTTP 404,not_downloaded,0
https://www.ucop.edu/investment-office/gep-holdings-disclosure-6-30-2024-final.pdf,"University of California, Berkeley",PA-5,Online location where the investment snapshot may be found,gep-holdings-disclosure-6-30-2024-final.pdf,,0,error,HTTP 404,not_downloaded,0
https://ucnet.universityofcalifornia.edu/wp-content/uploads/forms/pdf/pregnancy-newborn-child-and-adopted-child.pdf,"University of California, Berkeley",PA-12,Narrative and/or website URL providing an overview of the maternity leave options available to employees,pregnancy-newborn-child-and-adopted-child.pdf,58d79e1cda176ef6.pdf,321917,downloaded,application/pdf,ok,57090
https://capitalstrategies.berkeley.edu/sites/default/files/uc_berkeley_hill_campus_deir-508.pdf,"University of California, Berkeley",IL-24,Narrative and/or website URL outlining the methodology and results of the institution’s biodiversity assessment,uc_berkeley_hill_campus_deir-508.pdf,c64e2abdd7984319.pdf,30564345,downloaded,application/pdf,ok,1683332
https://capitalstrategies.berkeley.edu/sites/default/files/eir-volume-1.pdf,"University of California, Berkeley",IL-24,Narrative and/or website URL outlining the methodology and results of the institution’s biodiversity assessment,eir-volume-1.pdf,b8478635d33bf6c3.pdf,19755029,downloaded,application/pdf,ok,1748475
https://regents.universityofcalifornia.edu/policies/6111.pdf,"University of California, Berkeley",IL-54,Narrative and/or website URL providing an overview of the sustainability or ESG focused funds included in the institution’s employee retirement plan,6111.pdf,d39408e2018b0108.pdf,161692,downloaded,application/pdf,ok,7263
https://www.ucop.edu/investment-office/annual-report-240923_ucar24_final.pdf,"University of California, Berkeley",IL-54,Notes about the information provided for this credit,annual-report-240923_ucar24_final.pdf,97f6ac0bfb221b79.pdf,6448271,downloaded,application/pdf,ok,93815
https://www.ucc.ie/en/media/research/researchatucc/researchculture/policiesproceduresandguidelines/CodeofResearchConduct.pdf,University College Cork,AC-8,Online location of the institution’s ethical code of conduct for research,CodeofResearchConduct.pdf,6a712e99325d3cb1.pdf,809838,downloaded,application/pdf,ok,118853
https://www.ucc.ie/en/media/support/hr/RubricPromotionLecturertoSnrLecturerApril24.pdf,University College Cork,AC-8,Description or text of the promotion/tenure guidelines or policies that explicitly recognize integrated research,RubricPromotionLecturertoSnrLecturerApril24.pdf,07ec9a8061308b09.pdf,1080121,downloaded,application/pdf,ok,80859
https://www.ucc.ie/en/media/support/ocla/statutesregulations/documents/RegulationonAcademicPromotiontoProfessorScale2v1.3.pdf,University College Cork,AC-8,Description or text of the promotion/tenure guidelines or policies that explicitly recognize research impact or reach outside of academic journals,RegulationonAcademicPromotiontoProfessorScale2v1.3.pdf,6f7ec5c6aa916227.pdf,713034,downloaded,application/pdf,ok,73209
https://assets.gov.ie/static/documents/impact-2030-irelands-research-and-innovation-strategy.pdf,University College Cork,AC-8,Description of the institution’s inter-campus collaborations for responsible research and innovation,impact-2030-irelands-research-and-innovation-strategy.pdf,ce25130ba5077c8f.pdf,3339930,downloaded,application/pdf,ok,160986
https://www.ucc.ie/en/media/support/sustainabilityandclimateaction/2026GreenWeek.pdf,University College Cork,EN-2,Narrative outlining how student participation in the institution’s sustainability activities was determined,2026GreenWeek.pdf,06a5f8a1aa298d77.pdf,1390278,downloaded,application/pdf,no_text_layer,0
https://www.corklearningcity.ie/media/k1djwxe4/cork-learning-neighbourhoods-2024-v2.pdf,University College Cork,EN-6,Description of the institution’s community partnerships to support underrepresented groups and/or vulnerable populations in addressing sustainability challenges,cork-learning-neighbourhoods-2024-v2.pdf,93c93062ec30011b.pdf,7847104,downloaded,application/pdf,ok,4928
https://www.iua.ie/wp-content/uploads/2023/12/Guide-IUA-Engaged-Research-Framework-2022_V7-11.pdf,University College Cork,EN-6,Description of the institution’s approach to community partnership assessment and how the results are used to improve reciprocity and mutual benefit,Guide-IUA-Engaged-Research-Framework-2022_V7-11.pdf,d1b6c94ae84b0ad3.pdf,1191643,downloaded,application/pdf,ok,33867
https://www.ucc.ie/en/media/aboutucc/presidentx27soffice2024/plansandreports/uccplansandstrategiespdfs/UCCMasterplanJan2022.pdf,University College Cork,OP-1,Online location of the institution’s green building standards,UCCMasterplanJan2022.pdf,64d2bda6929d3d18.pdf,38201647,downloaded,application/pdf,ok,189233
https://www.ucc.ie/en/media/support/sustainabilityandclimateaction/UCCClimateActionRoadmap2024FINALv02.pdf,University College Cork,OP-6,Online location of the institution’s GHG emissions inventory,UCCClimateActionRoadmap2024FINALv02.pdf,9acb4c32c40b60e5.pdf,30087716,downloaded,application/pdf,ok,56544
https://www.epa.ie/publications/circular-economy/resources/EPA_GPP_Guidance_2024-revised.pdf,University College Cork,OP-9,Online location of the institution’s supplier code of conduct,EPA_GPP_Guidance_2024-revised.pdf,999fe0f8dd600319.pdf,1758144,downloaded,application/pdf,ok,249566
https://www.ucc.ie/en/media/research/researchatucc/policydocuments/2023/BiologicalWastePolicy.pdf,University College Cork,OP-11,Narrative and/or website URL providing an overview of the institution’s hazardous waste management program or protocol,BiologicalWastePolicy.pdf,c0f9b6b4d5bee218.pdf,135815,downloaded,application/pdf,ok,10156
https://consult.corkcity.ie/en/system/files/materials/9791/CCC-CAP-Climate-Change-Risk-Assessment.pdf,University College Cork,PA-2,Narrative and/or website URL providing an overview of the campus-community task force or committee focused on climate resilience,CCC-CAP-Climate-Change-Risk-Assessment.pdf,4a4900713835e6b5.pdf,20455228,downloaded,application/pdf,ok,135065
https://hea.ie/assets/uploads/2024/11/UCC-Performance-Agreement-2024%E2%80%932028.pdf,University College Cork,PA-3,Narrative and/or website URL outlining the ongoing bodies through which non-academic staff can democratically participate in the governance of the institution,UCC-Performance-Agreement-2024–2028.pdf,,0,error,HTTP 404,not_downloaded,0
https://www.ucc.ie/en/media/support/qualityenhancementunit/qpc/QEC-TermsofReference.pdf,University College Cork,PA-3,Narrative and/or website URL outlining the ongoing bodies through which non-academic staff can democratically participate in the governance of the institution,QEC-TermsofReference.pdf,,0,error,HTTP 404,not_downloaded,0
https://cantorfitzgerald.ie/wp-content/uploads/2024/01/LP-Ethical-and-Positive-Impact-Policy.pdf,University College Cork,PA-5,Narrative and/or website URL providing an overview of the institution’s positive sustainability investments,LP-Ethical-and-Positive-Impact-Policy.pdf,b7acf77f35890a69.pdf,478693,downloaded,application/pdf,ok,7217
https://cantorfitzgerald.ie/wp-content/uploads/2024/02/LP-Model-Portfolio_SFDR-website-disclosure-Art.-10-SFDR-.pdf,University College Cork,PA-5,Narrative and/or website URL providing an overview of the institution’s positive sustainability investments,LP-Model-Portfolio_SFDR-website-disclosure-Art.-10-SFDR-.pdf,8093b857428fe8c0.pdf,203983,downloaded,application/pdf,ok,17143
