institution,stars_version,pillar,category,category_code,credit_code,credit_name,status,score,max
Technological University Dublin,3.0,Social,Planning & Administration,PA,PA-8,Gender Parity,Complete,0.33,2.0
Technological University Dublin,3.0,Social,Planning & Administration,PA,PA-9,Affordability and Access,Complete,2.5,3.0
Technological University Dublin,3.0,Social,Planning & Administration,PA,PA-10,Student Success,Complete,2.91,3.0
Technological University Dublin,3.0,Social,Planning & Administration,PA,PA-11,"Health, Safety and Wellbeing",Complete,3.0,3.0
Technological University Dublin,3.0,Social,Planning & Administration,PA,PA-12,Employee Rights,Complete,3.0,3.0
Technological University Dublin,3.0,Social,Planning & Administration,PA,PA-13,Pay Equity and Living Wage,Complete,4.8,5.0
Technological University Dublin,3.0,Bonus,Innovation & Leadership,IL,IL-3,Sustainability Course Inventory,Complete,1.0,1.0
Technological University Dublin,3.0,Bonus,Innovation & Leadership,IL,IL-6,Sustainability Research Inventory,Complete,1.0,1.0
Technological University Dublin,3.0,Bonus,Innovation & Leadership,IL,IL-8,Open Access Journal Hosting,Complete,1.0,1.0
Technological University Dublin,3.0,Bonus,Innovation & Leadership,IL,IL-11,Green Events Program,Complete,0.0,1.0
Technological University Dublin,3.0,Bonus,Innovation & Leadership,IL,IL-12,Green Laboratory Program,Complete,0.5,1.0
Technological University Dublin,3.0,Bonus,Innovation & Leadership,IL,IL-18,Continuing Education Inventory,Complete,1.0,1.0
Technological University Dublin,3.0,Bonus,Innovation & Leadership,IL,IL-30,Energy System Certification,Complete,1.0,1.0
Technological University Dublin,3.0,Bonus,Innovation & Leadership,IL,IL-31,GHG Verification,Complete,1.0,1.0
Technological University Dublin,3.0,Bonus,Innovation & Leadership,IL,IL-48,Shared Mobility Program,Complete,0.5,1.0
Technological University Dublin,3.0,Bonus,Innovation & Leadership,IL,IL-52,Sustainability-Equity Coordination,Complete,1.0,1.0
Technological University Dublin,3.0,Bonus,Innovation & Leadership,IL,IL-56,Open and Shared Course Materials,Complete,1.0,1.0
Technological University Dublin,3.0,Bonus,Innovation & Leadership,IL,IL-58,Universal Design,Complete,1.0,1.0
Technological University Dublin,3.0,Bonus,Innovation & Leadership,IL,IL-62,Pay Scale Equity,Complete,1.0,1.0
